# This is the updated 1-D seismic Q model in Southern California
# from surface (0 km) to 44 km depth.
# This model is published in
# Lin, Y.-P. & Jordan, T. H. (2023). Elastic Scattering Dominates High-Frequency Seismic Attenuation in Southern California
#
# This is also the initial Q model for 3-D Q tomography by Lin & Jordan (2023)
#
#
# The columns from left to right are
# Depth(km),     Qp,         Qs
#-----------------------------------------------------------
0. 1.4477254e+02 1.7707512e+02
1. 2.2823409e+02 2.5599055e+02
2. 3.1245398e+02 3.3443365e+02
3. 3.7497236e+02 4.1227620e+02
4. 4.3494214e+02 4.8791310e+02
5. 4.5008245e+02 5.1627793e+02
6. 4.6338227e+02 5.4263120e+02
7. 4.7476864e+02 5.6683027e+02
8. 4.8391863e+02 5.8859299e+02
9. 4.8867344e+02 5.9058610e+02
10. 4.9096567e+02 5.9109450e+02
11. 4.8204771e+02 5.8552467e+02
12. 4.7362574e+02 5.7953257e+02
13. 4.6620660e+02 5.7396522e+02
14. 4.6005418e+02 5.6853861e+02
15. 4.5506027e+02 5.6096667e+02
16. 4.5198048e+02 5.5391462e+02
17. 4.5057863e+02 5.4733383e+02
18. 4.5077730e+02 5.4131612e+02
19. 4.5281083e+02 5.3566310e+02
20. 4.5577449e+02 5.3047058e+02
21. 4.6061413e+02 5.2642689e+02
22. 4.6739339e+02 5.2289552e+02
23. 4.7226167e+02 5.1996893e+02
24. 4.7817706e+02 5.1753838e+02
25. 4.8432291e+02 5.1557639e+02
26. 4.9144550e+02 5.1403956e+02
27. 4.9890408e+02 5.1286518e+02
28. 5.0667449e+02 5.1202019e+02
29. 5.1460243e+02 5.1146151e+02
30. 5.2245299e+02 5.1119966e+02
31. 5.3018840e+02 5.1466062e+02
32. 5.3761337e+02 5.1847201e+02
33. 5.4612609e+02 5.2237553e+02
34. 5.5149384e+02 5.2693278e+02
35. 5.5149384e+02 5.2693278e+02  
36. 5.5149384e+02 5.2693278e+02
37. 5.5149384e+02 5.2693278e+02
38. 5.5149384e+02 5.2693278e+02
39. 5.5149384e+02 5.2693278e+02
40. 5.5149384e+02 5.2693278e+02
41. 5.5149384e+02 5.2693278e+02
42. 5.5149384e+02 5.2693278e+02
43. 5.5149384e+02 5.2693278e+02
44. 5.5149384e+02 5.2693278e+02
